C_1,C_2,h,r_0,Phi,RB,,
-0.2,0.3,0.08,0.42,0.59,"0
",,
-0.1,-0.3,0.08,0.38,0.48,"0.1978
",,
-0.1,-0.2,0.08,0.42,0.56,"0.1179
",,
-0.1,-0.1,0.08,0.45,0.65,"0
",,
-0.1,0,0.08,0.5,0.78,"0
",,
-0.1,0.1,0.08,0.46,0.67,"0
",,
-0.1,0.2,0.08,0.42,0.56,"0
",,
-0.1,0.3,0.08,0.38,0.48,"0
",,
0,-0.3,0.08,0.38,0.48,"0.2958
",,
0,-0.2,0.08,0.41,0.54,"0.2784
",,
0,-0.1,0.08,0.45,0.63,"0.2826
",,
0,0,0.08,0.46,0.67,"0.4022
",,
0,0.1,0.08,0.42,0.55,"0.1303
",,
0,0.2,0.08,0.38,0.47,"0
",,
0,0.3,0.08,0.35,0.41,"0
",,
0.1,-0.3,0.08,0.38,0.47,"0.4070
",,
0.1,-0.2,0.08,0.41,0.53,"0.4475
",,
0.1,-0.1,0.08,0.43,0.6,"0.5704
",,
0.1,0,0.08,0.42,0.55,"0.7395
",,
0.1,0.1,0.08,0.38,0.47,"0.4473
",,
0.1,0.2,0.08,0.35,0.4,"0.2717
",,
0.1,0.3,0.08,0.33,0.36,"0.1502
",,
0.2,-0.3,0.08,0.37,0.46,"0.5177
",,
0.2,-0.2,0.08,0.39,0.51,"0.6115
",,
0.2,-0.1,0.08,0.41,0.54,"0.8011
",,
0.2,0,0.08,0.38,0.47,"0.7111
",,
0.2,0.1,0.08,0.35,0.4,"0.5023
",,
0.2,0.2,0.08,0.33,0.35,"0.4505
",,
0.2,0.3,0.08,0.31,0.32,"0.4007
",,
0.3,-0.3,0.08,0.36,0.45,"0.6288
",,
0.3,-0.2,0.08,0.38,0.49,"0.7532
",,
0.3,-0.1,0.08,0.38,0.48,"0.9092
",,
0.3,0,0.08,0.35,0.41,"0.6907
",,
0.3,0.1,0.08,0.33,0.36,"0.5441
",,
0.3,0.2,0.08,0.31,0.32,"0.4913
",,
0.3,0.3,0.08,0.29,0.28,0.45,,
-0.3,-0.3,0.1,0.37,0.47,"0.1380
",,
-0.3,-0.2,0.1,0.4,0.54,"0
",,
-0.3,-0.1,0.1,0.43,0.61,"0
",,
-0.3,0,0.1,0.45,0.65,"0
",,
-0.3,0.1,0.1,0.43,0.62,"0
",,
-0.3,0.2,0.1,0.41,0.56,"0
",,
-0.3,0.3,0.1,0.39,0.51,"0
",,
-0.2,-0.3,0.1,0.37,0.47,"0.2022
",,
-0.2,-0.2,0.1,0.41,0.54,"0.0377
",,
-0.2,-0.1,0.1,0.44,0.62,"0
",,
-0.2,0,0.1,0.47,0.71,"0
",,
-0.2,0.1,0.1,0.46,0.69,"0
",,
