C_1,C_2,h,r_0,Phi,RB,,
-0.3,-0.3,0.24,0.32,0.35,"0.2399
",,
-0.3,-0.2,0.24,0.34,0.39,"0.1511
",,
-0.3,-0.1,0.24,0.37,0.45,"0
",,
-0.3,0,0.24,0.38,0.48,"0
",,
-0.3,0.1,0.24,0.37,0.45,"0
",,
-0.3,0.2,0.24,0.35,0.41,"0
",,
-0.3,0.3,0.24,0.33,0.37,"0
",,
-0.2,-0.3,0.24,0.32,0.34,"0.2720
",,
-0.2,-0.2,0.24,0.35,0.39,"0.2053
",,
-0.2,-0.1,0.24,0.38,0.46,"0.0789
",,
-0.2,0,0.24,0.4,0.52,"0
",,
-0.2,0.1,0.24,0.4,0.51,"0
",,
-0.2,0.2,0.24,0.37,0.46,"0
",,
-0.2,0.3,0.24,0.35,0.41,"0
",,
-0.1,-0.3,0.24,0.32,0.34,"0.3119
",,
-0.1,-0.2,0.24,0.35,0.39,"0.2535
",,
-0.1,-0.1,0.24,0.38,0.46,"0.1704
",,
-0.1,0,0.24,0.42,0.55,"0
",,
-0.1,0.1,0.24,0.39,0.47,"0
",,
-0.1,0.2,0.24,0.35,0.39,"0
",,
-0.1,0.3,0.24,0.32,0.34,"0
",,
0,-0.3,0.24,0.32,0.33,"0.3509
",,
0,-0.2,0.24,0.35,0.38,"0.3066
",,
0,-0.1,0.24,0.37,0.44,"0.2526
",,
0,0,0.24,0.39,0.47,"0.0876
",,
0,0.1,0.24,0.35,0.39,"0
",,
0,0.2,0.24,0.32,0.33,"0
",,
0,0.3,0.24,0.3,0.29,"0
",,
0.1,-0.3,0.24,0.32,0.33,"0.3764
",,
0.1,-0.2,0.24,0.34,0.37,"0.3309
",,
0.1,-0.1,0.24,0.36,0.42,"0.2703
",,
0.1,0,0.24,0.35,0.39,"0.0475
",,
0.1,0.1,0.24,0.32,0.33,"0
",,
0.1,0.2,0.24,0.3,0.28,"0
",,
0.1,0.3,0.24,0.28,0.25,"0
",,
0.2,-0.3,0.24,0.31,0.32,"0.4063
",,
0.2,-0.2,0.24,0.33,0.36,"0.3560
",,
0.2,-0.1,0.24,0.34,0.38,"0.2700
",,
0.2,0,0.24,0.32,0.33,"0.0344
",,
0.2,0.1,0.24,0.3,0.28,"0
",,
0.2,0.2,0.24,0.28,0.25,"0
",,
0.2,0.3,0.24,0.26,0.22,"0
",,
0.3,-0.3,0.24,0.3,0.31,"0.4096
",,
0.3,-0.2,0.24,0.32,0.34,"0.3810
",,
0.3,-0.1,0.24,0.32,0.34,"0.2385
",,
0.3,0,0.24,0.3,0.29,"0.0425
",,
0.3,0.1,0.24,0.28,0.25,"0
",,
0.3,0.2,0.24,0.26,0.22,"0
",,
0.3,0.3,0.24,0.24,0.2,0,,
-0.3,-0.3,0.26,0.31,0.33,"0.2369
",,
-0.3,-0.2,0.26,0.33,0.37,"0.1418
",,
-0.3,-0.1,0.26,0.36,0.43,"0
",,
-0.3,0,0.26,0.37,0.45,"0
",,
-0.3,0.1,0.26,0.36,0.43,"0
",,
-0.3,0.2,0.26,0.34,0.39,"0
",,
-0.3,0.3,0.26,0.32,0.36,"0
",,
-0.2,-0.3,0.26,0.31,0.33,"0.2516
",,
-0.2,-0.2,0.26,0.34,0.37,"0.1684
",,
-0.2,-0.1,0.26,0.37,0.43,"0.0520
",,
-0.2,0,0.26,0.39,0.5,"0
",,
-0.2,0.1,0.26,0.39,0.48,"0
",,
-0.2,0.2,0.26,0.37,0.44,"0
",,
-0.2,0.3,0.26,0.34,0.39,"0
",,
-0.1,-0.3,0.26,0.31,0.32,"0.2632
",,
-0.1,-0.2,0.26,0.34,0.37,"0.2116
",,
-0.1,-0.1,0.26,0.37,0.43,"0.1363
",,
-0.1,0,0.26,0.41,0.52,"0
",,
-0.1,0.1,0.26,0.38,0.45,"0
",,
-0.1,0.2,0.26,0.34,0.37,"0
",,
-0.1,0.3,0.26,0.31,0.32,"0
",,
0,-0.3,0.26,0.31,0.32,"0.2783
",,
0,-0.2,0.26,0.34,0.36,"0.2354
",,
0,-0.1,0.26,0.36,0.42,"0.1869
",,
0,0,0.26,0.38,0.44,"0.0578
",,
0,0.1,0.26,0.34,0.37,"0
",,
0,0.2,0.26,0.31,0.31,"0
",,
0,0.3,0.26,0.29,0.27,"0
",,
0.1,-0.3,0.26,0.31,0.31,"0.3064
",,
0.1,-0.2,0.26,0.33,0.35,"0.2566
",,
0.1,-0.1,0.26,0.35,0.4,"0.2013
",,
0.1,0,0.26,0.34,0.37,"0
",,
0.1,0.1,0.26,0.31,0.31,"0
",,
0.1,0.2,0.26,0.29,0.27,"0
",,
0.1,0.3,0.26,0.27,0.24,"0
",,
0.2,-0.3,0.26,0.3,0.31,"0.3360
",,
0.2,-0.2,0.26,0.32,0.34,"0.2868
",,
0.2,-0.1,0.26,0.34,0.36,"0.1987
",,
0.2,0,0.26,0.31,0.31,"0
",,
0.2,0.1,0.26,0.29,0.27,"0
",,
0.2,0.2,0.26,0.27,0.24,"0
",,
0.2,0.3,0.26,0.25,0.21,"0
",,
0.3,-0.3,0.26,0.3,0.3,"0.3554
",,
0.3,-0.2,0.26,0.31,0.32,"0.3007
",,
0.3,-0.1,0.26,0.31,0.32,"0.1754
",,
0.3,0,0.26,0.29,0.27,"0
",,
0.3,0.1,0.26,0.27,0.24,"0
",,
0.3,0.2,0.26,0.25,0.21,"0
",,
0.3,0.3,0.26,0.23,0.19,0,,
-0.3,-0.3,0.28,0.3,0.31,"0.1886
",,
-0.3,-0.2,0.28,0.33,0.35,"0.1106
",,
-0.3,-0.1,0.28,0.35,0.4,"0
",,
-0.3,0,0.28,0.36,0.43,"0
",,
-0.3,0.1,0.28,0.35,0.4,"0
",,
-0.3,0.2,0.28,0.33,0.37,"0
",,
-0.3,0.3,0.28,0.31,0.34,"0
",,
-0.2,-0.3,0.28,0.3,0.31,"0.1894
",,
-0.2,-0.2,0.28,0.33,0.35,"0.1334
",,
-0.2,-0.1,0.28,0.36,0.41,"0.0293
",,
-0.2,0,0.28,0.38,0.47,"0
",,
-0.2,0.1,0.28,0.38,0.46,"0
",,
-0.2,0.2,0.28,0.36,0.41,"0
",,
-0.2,0.3,0.28,0.33,0.37,"0
",,
-0.1,-0.3,0.28,0.3,0.31,"0.2031
",,
-0.1,-0.2,0.28,0.33,0.35,"0.1516
",,
-0.1,-0.1,0.28,0.36,0.41,"0.1039
",,
-0.1,0,0.28,0.4,0.49,"0
",,
-0.1,0.1,0.28,0.37,0.42,"0
",,
-0.1,0.2,0.28,0.33,0.36,"0
",,
-0.1,0.3,0.28,0.3,0.31,"0
",,
0,-0.3,0.28,0.3,0.3,"0.2163
",,
0,-0.2,0.28,0.33,0.34,"0.1702
",,
0,-0.1,0.28,0.36,0.4,"0.1274
",,
0,0,0.28,0.37,0.42,"0.0177
",,
0,0.1,0.28,0.33,0.35,"0
",,
0,0.2,0.28,0.3,0.3,"0
",,
0,0.3,0.28,0.28,0.26,"0
",,
0.1,-0.3,0.28,0.3,0.3,"0.2419
",,
0.1,-0.2,0.28,0.32,0.33,"0.1887
",,
0.1,-0.1,0.28,0.34,0.37,"0.1321
",,
0.1,0,0.28,0.33,0.35,"0
",,
0.1,0.1,0.28,0.3,0.29,"0
",,
0.1,0.2,0.28,0.28,0.25,"0
",,
0.1,0.3,0.28,0.26,0.22,"0
",,
0.2,-0.3,0.28,0.29,0.29,"0.2690
",,
0.2,-0.2,0.28,0.31,0.32,"0.2153
",,
0.2,-0.1,0.28,0.33,0.34,"0.1340
",,
0.2,0,0.28,0.3,0.3,"0
",,
0.2,0.1,0.28,0.28,0.25,"0
",,
0.2,0.2,0.28,0.26,0.22,"0
",,
0.2,0.3,0.28,0.24,0.2,"0
",,
0.3,-0.3,0.28,0.29,0.28,"0.2931
",,
0.3,-0.2,0.28,0.3,0.31,"0.2352
",,
0.3,-0.1,0.28,0.3,0.31,"0.1177
",,
0.3,0,0.28,0.28,0.26,"0
",,
0.3,0.1,0.28,0.26,0.22,"0
",,
0.3,0.2,0.28,0.24,0.2,"0
",,
0.3,0.3,0.28,0.23,0.18,0,,
-0.3,-0.3,0.3,0.29,0.29,"0.1384
",,
-0.3,-0.2,0.3,0.32,0.33,"0.0805
",,
-0.3,-0.1,0.3,0.34,0.38,"0
",,
-0.3,0,0.3,0.35,0.41,"0
",,
-0.3,0.1,0.3,0.34,0.38,"0
",,
-0.3,0.2,0.3,0.32,0.35,"0
",,
-0.3,0.3,0.3,0.31,0.32,"0
",,
-0.2,-0.3,0.3,0.3,0.29,"0.1364
",,
-0.2,-0.2,0.3,0.32,0.33,"0.0892
",,
-0.2,-0.1,0.3,0.35,0.39,"0
",,
-0.2,0,0.3,0.37,0.44,"0
",,
-0.2,0.1,0.3,0.37,0.43,"0
",,
-0.2,0.2,0.3,0.35,0.39,"0
",,
-0.2,0.3,0.3,0.32,0.35,"0
",,
-0.1,-0.3,0.3,0.3,0.29,"0.1406
",,
-0.1,-0.2,0.3,0.32,0.33,"0.0943
",,
-0.1,-0.1,0.3,0.35,0.39,"0.0581
",,
-0.1,0,0.3,0.38,0.47,"0
",,
-0.1,0.1,0.3,0.36,0.4,"0
",,
-0.1,0.2,0.3,0.32,0.34,"0
",,
-0.1,0.3,0.3,0.3,0.29,"0
",,
0,-0.3,0.3,0.29,0.28,"0.1584
",,
0,-0.2,0.3,0.32,0.32,"0.1101
",,
0,-0.1,0.3,0.35,0.38,"0.0673
",,
0,0,0.3,0.36,0.4,"0
",,
0,0.1,0.3,0.32,0.33,"0
",,
0,0.2,0.3,0.3,0.28,"0
",,
0,0.3,0.3,0.27,0.25,"0
",,
0.1,-0.3,0.3,0.29,0.28,"0.1818
",,
0.1,-0.2,0.3,0.31,0.32,"0.1330
",,
0.1,-0.1,0.3,0.33,0.35,"0.0753
",,
0.1,0,0.3,0.32,0.33,"0
",,
0.1,0.1,0.3,0.3,0.28,"0
",,
0.1,0.2,0.3,0.27,0.24,"0
",,
0.1,0.3,0.3,0.25,0.21,"0
",,
0.2,-0.3,0.3,0.29,0.27,"0.2072
",,
0.2,-0.2,0.3,0.3,0.3,"0.1500
",,
0.2,-0.1,0.3,0.32,0.32,"0.0753
",,
0.2,0,0.3,0.3,0.28,"0
",,
0.2,0.1,0.3,0.27,0.24,"0
",,
0.2,0.2,0.3,0.25,0.21,"0
",,
0.2,0.3,0.3,0.24,0.19,"0
",,
0.3,-0.3,0.3,0.28,0.27,"0.2300
",,
0.3,-0.2,0.3,0.29,0.29,"0.1747
",,
0.3,-0.1,0.3,0.3,0.29,"0.0586
",,
0.3,0,0.3,0.27,0.25,"0
",,
0.3,0.1,0.3,0.25,0.21,"0
",,
0.3,0.2,0.3,0.24,0.19,"0
",,
0.3,0.3,0.3,0.22,0.17,0,,
-0.3,-0.3,0.32,0.28,0.27,"0.0689
",,
-0.3,-0.2,0.32,0.3,0.31,"0.0286
",,
-0.3,-0.1,0.32,0.33,0.35,"0
",,
-0.3,0,0.32,0.34,0.38,"0
",,
-0.3,0.1,0.32,0.33,0.35,"0
",,
-0.3,0.2,0.32,0.31,0.32,"0
",,
-0.3,0.3,0.32,0.29,0.29,"0
",,
-0.2,-0.3,0.32,0.28,0.27,"0.0632
",,
-0.2,-0.2,0.32,0.31,0.31,"0.0163
",,
-0.2,-0.1,0.32,0.33,0.36,"0
",,
-0.2,0,0.32,0.36,0.41,"0
",,
-0.2,0.1,0.32,0.35,0.39,"0
",,
-0.2,0.2,0.32,0.33,0.36,"0
",,
-0.2,0.3,0.32,0.31,0.32,"0
",,
-0.1,-0.3,0.32,0.28,0.26,"0.0644
",,
-0.1,-0.2,0.32,0.31,0.3,"0.0189
",,
-0.1,-0.1,0.32,0.34,0.36,"0
",,
-0.1,0,0.32,0.37,0.43,"0
",,
-0.1,0.1,0.32,0.34,0.37,"0
",,
-0.1,0.2,0.32,0.31,0.31,"0
",,
-0.1,0.3,0.32,0.28,0.26,"0
",,
0,-0.3,0.32,0.28,0.26,"0.0789
",,
0,-0.2,0.32,0.3,0.3,"0.0259
",,
0,-0.1,0.32,0.33,0.35,"0
",,
0,0,0.32,0.34,0.36,"0
",,
0,0.1,0.32,0.31,0.3,"0
",,
0,0.2,0.32,0.28,0.26,"0
",,
0,0.3,0.32,0.26,0.23,"0
",,
0.1,-0.3,0.32,0.28,0.26,"0.0994
",,
0.1,-0.2,0.32,0.3,0.29,"0.0505
",,
0.1,-0.1,0.32,0.32,0.33,"0
",,
0.1,0,0.32,0.31,0.3,"0
",,
0.1,0.1,0.32,0.28,0.25,"0
",,
0.1,0.2,0.32,0.26,0.22,"0
",,
0.1,0.3,0.32,0.24,0.2,"0
",,
0.2,-0.3,0.32,0.27,0.25,"0.1223
",,
0.2,-0.2,0.32,0.29,0.28,"0.0708
",,
0.2,-0.1,0.32,0.3,0.3,"0
",,
0.2,0,0.32,0.28,0.26,"0
",,
0.2,0.1,0.32,0.26,0.22,"0
",,
0.2,0.2,0.32,0.24,0.19,"0
",,
0.2,0.3,0.32,0.23,0.17,"0
",,
0.3,-0.3,0.32,0.27,0.25,"0.1500
",,
0.3,-0.2,0.32,0.28,0.27,"0.0920
",,
0.3,-0.1,0.32,0.28,0.26,"0
",,
0.3,0,0.32,0.26,0.23,"0
",,
0.3,0.1,0.32,0.24,0.2,"0
",,
0.3,0.2,0.32,0.23,0.17,"0
",,
0.3,0.3,0.32,0.21,0.15,0,,
-0.3,-0.3,0.34,0.27,0.26,"0.0257
",,
-0.3,-0.2,0.34,0.29,0.29,"0
",,
-0.3,-0.1,0.34,0.32,0.33,"0
",,
-0.3,0,0.34,0.33,0.35,"0
",,
-0.3,0.1,0.34,0.32,0.33,"0
",,
-0.3,0.2,0.34,0.3,0.3,"0
",,
-0.3,0.3,0.34,0.28,0.27,"0
",,
-0.2,-0.3,0.34,0.28,0.25,"0.0180
",,
-0.2,-0.2,0.34,0.3,0.29,"0
",,
-0.2,-0.1,0.34,0.32,0.34,"0
",,
-0.2,0,0.34,0.35,0.38,"0
",,
-0.2,0.1,0.34,0.34,0.37,"0
",,
-0.2,0.2,0.34,0.32,0.34,"0
",,
-0.2,0.3,0.34,0.3,0.3,"0
",,
-0.1,-0.3,0.34,0.28,0.25,"0.0174
",,
-0.1,-0.2,0.34,0.3,0.29,"0
",,
-0.1,-0.1,0.34,0.33,0.34,"0
",,
-0.1,0,0.34,0.36,0.41,"0
",,
-0.1,0.1,0.34,0.33,0.35,"0
",,
-0.1,0.2,0.34,0.3,0.29,"0
",,
-0.1,0.3,0.34,0.28,0.25,"0
",,
0,-0.3,0.34,0.27,0.25,"0.0303
",,
0,-0.2,0.34,0.3,0.28,"0
",,
0,-0.1,0.34,0.32,0.33,"0
",,
0,0,0.34,0.33,0.34,"0
",,
0,0.1,0.34,0.3,0.28,"0
",,
0,0.2,0.34,0.28,0.24,"0
",,
0,0.3,0.34,0.25,0.21,"0
",,
0.1,-0.3,0.34,0.27,0.24,"0.0430
",,
0.1,-0.2,0.34,0.29,0.27,"0
",,
0.1,-0.1,0.34,0.31,0.31,"0
",,
0.1,0,0.34,0.3,0.28,"0
",,
0.1,0.1,0.34,0.28,0.24,"0
",,
0.1,0.2,0.34,0.25,0.21,"0
",,
0.1,0.3,0.34,0.24,0.18,"0
",,
0.2,-0.3,0.34,0.27,0.24,"0.0701
",,
0.2,-0.2,0.34,0.28,0.26,"0.0170
",,
0.2,-0.1,0.34,0.3,0.28,"0
",,
0.2,0,0.34,0.28,0.24,"0
",,
0.2,0.1,0.34,0.25,0.21,"0
",,
0.2,0.2,0.34,0.24,0.18,"0
",,
0.2,0.3,0.34,0.22,0.16,"0
",,
0.3,-0.3,0.34,0.26,0.23,"0.0958
",,
0.3,-0.2,0.34,0.27,0.25,"0.0415
",,
0.3,-0.1,0.34,0.28,0.25,"0
",,
0.3,0,0.34,0.25,0.21,"0
",,
0.3,0.1,0.34,0.24,0.18,"0
",,
0.3,0.2,0.34,0.22,0.16,"0
",,
0.3,0.3,0.34,0.21,0.15,0,,
-0.3,-0.3,0.36,0.26,0.24,"0
",,
-0.3,-0.2,0.36,0.29,0.27,"0
",,
-0.3,-0.1,0.36,0.31,0.31,"0
",,
-0.3,0,0.36,0.32,0.33,"0
",,
-0.3,0.1,0.36,0.31,0.31,"0
",,
-0.3,0.2,0.36,0.29,0.28,"0
",,
-0.3,0.3,0.36,0.28,0.26,"0
",,
-0.2,-0.3,0.36,0.27,0.24,"0
",,
-0.2,-0.2,0.36,0.29,0.27,"0
",,
-0.2,-0.1,0.36,0.31,0.32,"0
",,
-0.2,0,0.36,0.34,0.36,"0
",,
-0.2,0.1,0.36,0.33,0.35,"0
",,
-0.2,0.2,0.36,0.31,0.32,"0
",,
-0.2,0.3,0.36,0.29,0.28,"0
",,
-0.1,-0.3,0.36,0.27,0.24,"0
",,
-0.1,-0.2,0.36,0.29,0.27,"0
",,
-0.1,-0.1,0.36,0.32,0.32,"0
",,
-0.1,0,0.36,0.35,0.38,"0
",,
-0.1,0.1,0.36,0.32,0.33,"0
",,
-0.1,0.2,0.36,0.29,0.27,"0
",,
-0.1,0.3,0.36,0.27,0.24,"0
",,
0,-0.3,0.36,0.27,0.23,"0
",,
0,-0.2,0.36,0.29,0.26,"0
",,
0,-0.1,0.36,0.31,0.31,"0
",,
0,0,0.36,0.32,0.32,"0
",,
0,0.1,0.36,0.29,0.27,"0
",,
0,0.2,0.36,0.27,0.23,"0
",,
0,0.3,0.36,0.25,0.2,"0
",,
0.1,-0.3,0.36,0.26,0.23,"0
",,
0.1,-0.2,0.36,0.28,0.26,"0
",,
0.1,-0.1,0.36,0.3,0.29,"0
",,
0.1,0,0.36,0.29,0.27,"0
",,
0.1,0.1,0.36,0.27,0.23,"0
",,
0.1,0.2,0.36,0.25,0.2,"0
",,
0.1,0.3,0.36,0.23,0.17,"0
",,
0.2,-0.3,0.36,0.26,0.22,"0.0212
",,
0.2,-0.2,0.36,0.28,0.25,"0
",,
0.2,-0.1,0.36,0.29,0.26,"0
",,
0.2,0,0.36,0.27,0.23,"0
",,
0.2,0.1,0.36,0.25,0.2,"0
",,
0.2,0.2,0.36,0.23,0.17,"0
",,
0.2,0.3,0.36,0.21,0.15,"0
",,
0.3,-0.3,0.36,0.25,0.22,"0.0454
",,
0.3,-0.2,0.36,0.27,0.24,"0
",,
0.3,-0.1,0.36,0.27,0.24,"0
",,
0.3,0,0.36,0.25,0.2,"0
",,
0.3,0.1,0.36,0.23,0.17,"0
",,
0.3,0.2,0.36,0.21,0.15,"0
",,
0.3,0.3,0.36,0.2,0.14,0,,
-0.3,-0.3,0.38,0.26,0.22,"0
",,
-0.3,-0.2,0.38,0.28,0.26,"0
",,
-0.3,-0.1,0.38,0.3,0.29,"0
",,
-0.3,0,0.38,0.31,0.31,"0
",,
-0.3,0.1,0.38,0.3,0.29,"0
",,
-0.3,0.2,0.38,0.28,0.27,"0
",,
-0.3,0.3,0.38,0.27,0.24,"0
",,
-0.2,-0.3,0.38,0.26,0.22,"0
",,
-0.2,-0.2,0.38,0.28,0.25,"0
",,
-0.2,-0.1,0.38,0.3,0.3,"0
",,
-0.2,0,0.38,0.33,0.34,"0
",,
-0.2,0.1,0.38,0.32,0.33,"0
",,
-0.2,0.2,0.38,0.3,0.3,"0
",,
-0.2,0.3,0.38,0.28,0.27,"0
",,
-0.1,-0.3,0.38,0.26,0.22,"0
",,
-0.1,-0.2,0.38,0.28,0.25,"0
",,
-0.1,-0.1,0.38,0.31,0.3,"0
",,
-0.1,0,0.38,0.34,0.36,"0
",,
-0.1,0.1,0.38,0.31,0.31,"0
",,
-0.1,0.2,0.38,0.28,0.26,"0
",,
-0.1,0.3,0.38,0.26,0.22,"0
",,
0,-0.3,0.38,0.26,0.22,"0
",,
0,-0.2,0.38,0.28,0.25,"0
",,
0,-0.1,0.38,0.3,0.29,"0
",,
0,0,0.38,0.31,0.3,"0
",,
0,0.1,0.38,0.28,0.25,"0
",,
0,0.2,0.38,0.26,0.22,"0
",,
0,0.3,0.38,0.24,0.19,"0
",,
0.1,-0.3,0.38,0.25,0.21,"0
",,
0.1,-0.2,0.38,0.27,0.24,"0
",,
0.1,-0.1,0.38,0.29,0.27,"0
",,
0.1,0,0.38,0.28,0.25,"0
",,
0.1,0.1,0.38,0.26,0.21,"0
",,
0.1,0.2,0.38,0.24,0.18,"0
",,
0.1,0.3,0.38,0.22,0.16,"0
",,
0.2,-0.3,0.38,0.25,0.21,"0
",,
0.2,-0.2,0.38,0.27,0.23,"0
",,
0.2,-0.1,0.38,0.28,0.25,"0
",,
0.2,0,0.38,0.26,0.22,"0
",,
0.2,0.1,0.38,0.24,0.18,"0
",,
0.2,0.2,0.38,0.22,0.16,"0
",,
0.2,0.3,0.38,0.21,0.14,"0
",,
0.3,-0.3,0.38,0.24,0.2,"0
",,
0.3,-0.2,0.38,0.26,0.22,"0
",,
0.3,-0.1,0.38,0.26,0.22,"0
",,
0.3,0,0.38,0.24,0.19,"0
",,
0.3,0.1,0.38,0.22,0.16,"0
",,
0.3,0.2,0.38,0.21,0.14,"0
",,
0.3,0.3,0.38,0.19,0.13,0,,
