POP_SIZE = 300
STACK_SIZE = 20
MUTATION_PROBABILITY = 0.4
CROSSOVER_PROBABILITY = 0.4
MAX_GENS = 1_000
FIT_TOL = 1e-3
use_simplification = True
regression_metric = 'mse'
clo_algorithm = 'lm'

Elapsed Time: 9.13min
 FITNESS   COMPLEXITY    EQUATION
4.156e-03      15      f(X_0) = X_6 + (35.95004507420783)*((X_1)*((-0.038440231525523984 + (X_2)*((X_2)*(X_2) + (X_6)*(X_6)))*(X_2 + (X_2)*((X_2)*(X_2) + (X_6)*(X_6)))))
4.343e-03      13      f(X_0) = (1.105899342313819)*(-0.01363624871611472 + (-0.6171092984700902)*((X_0)*(0.18827211379432462 - (X_1))) + X_6)
4.432e-03      12      f(X_0) = (1.0198777075969119 + X_2 + (8.938629898412167)*((X_0)*(0.04152129963540816 - (X_2))))*(X_6)
4.545e-03      11      f(X_0) = (-0.06537733149961754 + X_0)*(-0.06336011408405504 + (0.5769972133610711)*(X_1)) + X_6
4.611e-03      10      f(X_0) = X_6 - ((X_0)*((-0.0128902105937953 + X_1 - (X_2))*(-0.0128902105937953 + X_1 - (X_2))))
4.613e-03      9      f(X_0) = (1.130514945222103 + (-5.462156468357534)*((X_0)*(X_2)))*(X_6)
4.614e-03      8      f(X_0) = X_6 - ((X_0)*((X_1 - (X_2))*(X_1 - (X_2))))
4.814e-03      7      f(X_0) = (0.5584112342266963)*((X_0)*(X_1)) + X_6
5.029e-03      6      f(X_0) = X_6 - ((X_0)*((X_2)*(X_2)))
5.044e-03      5      f(X_0) = (1.2060399371232298 - (X_0))*(X_6)
5.313e-03      3      f(X_0) = 8.185452315956354e-12 + X_6
5.313e-03      1      f(X_0) = X_6
